id	title	 description	content_type	organisation_id	url	creator_id	created	publication_date


	article		https://www.independent.co.uk/news/las-vegas-ap-nevada-b2497781.html	1	1714286073	
9	Behind DEA’s 1975 Admission That Rescheduling Cannabis Does Not Violate International Treaty	Speculation abounds over the DEA's potential reclassification of cannabis as a Schedule III drug, following the HHS's recommendation in August 2023. Legal experts and stakeholders weigh the implications for industry oversight, taxes, research, and criminal justice, while the DEA's historical reluctance to reschedule cannabis underscores the uncertainty. President Biden's directive initiated the administrative process for review, contrasting past failed rescheduling attempts. The current landscape, marked by HHS's recognition of cannabis's medical value, presents a potential shift in DEA's stance. However, past denials and historical context caution against premature celebration pending official action.	article		https://www.cannabisbusinesstimes.com/news/dea-rescheduling-cannabis-international-treaty-norml-petition-timeline/	1	1714286073	
10	Wholesale cannabis prices beating expectations for 2024	Wholesale cannabis prices are still declining in some state markets but have performed better than expected overall over the past year.	article		https://mjbizdaily.com/wholesale-cannabis-prices-beating-expectations-for-2024/		1715376400	May 7, 2024
11	Missouri municipalities may stack taxes on cannabis operators, judge says	Municipal governments in Missouri may stack additional taxes on adult-use cannabis sales on top of the 6% state tax, according to a judges ruling.	article		https://mjbizdaily.com/missouri-municipalities-may-stack-taxes-on-cannabis-operators-judge-says/		1715376400	May 6, 2024
12	Canadas medical cannabis exports jump to CA$220 million as domestic sales fall	Canadian exports of medical cannabis hit an all-time high last year as the countys licensed producers continue to diversify from the competitive local market in favor of pursuing top-line opportunities overseas.	article		https://mjbizdaily.com/canada-medical-cannabis-exports-jump-to-ca220-million-domestic-sales-decline/		1715376400	May 6, 2024
13	New Mexico cannabis operator reports more seizures by Border Patrol	U.S. Customs and Border Protection agents seized more than $90,000 worth of marijuana products from state-licensed cannabis operators in New Mexico during two separate stops this week.	article		https://mjbizdaily.com/new-mexico-cannabis-operator-reports-more-border-patrol-seizures/		1715376400	May 3, 2024
14	Institutional investor puts $50 million into cannabis operator Canopy Growth	Cannabis producer Canopy Growth raised gross proceeds of roughly $50 million (68 million Canadian dollars) through an exchange and subscription agreement with an institutional investor.	article		https://mjbizdaily.com/institutional-investor-puts-50-million-into-cannabis-operator-canopy-growth/		1715376400	May 3, 2024
15	Arkansas revokes medical cannabis dispensary license for first time	The Arkansas Alcoholic Beverage Control Division has revoked a medical cannabis dispensary license for the first time.	article		https://mjbizdaily.com/arkansas-revokes-medical-cannabis-dispensary-license-for-first-time/		1715376400	May 3, 2024
16	Cannabis retailer High Tide appoints new CFO	Canadian adult-use cannabis retailer High Tide has appointed Mayank Mahajan as the companys new chief financial officer.	article		https://mjbizdaily.com/cannabis-retailer-high-tide-appoints-mayank-mahajan-as-cfo/		1715376400	May 2, 2024
17	US cannabis business licenses down 6% in first quarter of 2024	The number of active U.S. cannabis business licenses fell 6% during the first quarter of 2024, according to CRB Monitor, a cannabis intelligence firm.	article		https://mjbizdaily.com/cannabis-business-licenses-down-in-first-quarter-2024/		1715376400	May 2, 2024
18	Cookies to acquire related cannabis assets in Florida	Marijuana brand Cookies plans to acquire all operational cannabis assets related to the production and sale of Cookies-branded cannabis products in Florida from TRP Co. and affiliated companies.	article		https://mjbizdaily.com/cookies-to-acquire-related-cannabis-assets-in-florida/		1715376400	May 1, 2024
19	US, Canadian cannabis stocks rally after rescheduling report	Cannabis stocks surged Tuesday afternoon on the news that the U.S. Drug Enforcement Administration (DEA) intends to reclassify marijuana to Schedule 3 of the Controlled Substances Act.	article		https://mjbizdaily.com/us-canadian-cannabis-stocks-rally-after-rescheduling-report/		1715376400	April 30, 2024
20	Cannabis retailer Schwazze settles $525,000 budtender wage-theft claim	A Denver-based cannabis multistate operator has settled a lawsuit in New Mexico with budtenders who claimed wage theft and is facing a similar case in its home state of Colorado.	article		https://mjbizdaily.com/cannabis-retailer-schwazze-settles-525000-budtender-wage-theft-claim/		1715376400	April 30, 2024
21	MedMen receiver sets date to meet with creditors after cannabis MSOs bankruptcy filing	Creditors of cannabis operator MedMen Enterprises will meet in a few weeks as investors seek repayment for hundreds of millions of dollars in outstanding debt.	article		https://mjbizdaily.com/medmen-receiver-sets-date-to-meet-with-creditors-after-bankruptcy-filing/		1715376400	April 30, 2024
22	Theyre taking all of our cannabis, New Mexico gov says of Homeland Security	New Mexico Gov. Michelle Lujan Grisham says she was expressing her frustration with federal interference in her states regulated cannabis industry when she criticized the head of the U.S. Department of Homeland Security in audio leaked last week.	article		https://mjbizdaily.com/new-mexico-gov-criticizes-homeland-security-over-cannabis-seizures/		1715376400	April 29, 2024
23	Tootsie Roll legal threat prompts Michigan manufacturer to rebrand cannabis edible	A cannabis products manufacturer in Michigan has rebranded its flagship edibleafter receiving a cease-and-desist letter from Tootsie Roll Industries.	article		https://mjbizdaily.com/tootsie-roll-legal-threat-prompts-michigan-manufacturer-to-rebrand-cannabis-edible/		1715376400	April 26, 2024
24	Hawaii gov suggests easing medical cannabis access after adult use fails	Hawaiis governor is proposing that the state open up access to medical cannabis after the failure of an adult-use legalization bill.	article		https://mjbizdaily.com/hawaii-governor-josh-green-suggests-easing-medical-marijuana-access/		1715376400	April 26, 2024
25	German cannabis imports rise to 34.6 tons as cultivators eye end of quota system	Germany imported a record amount of cannabis for medical and scientific use in 2023, as international businesses looked for sales opportunities in Europes largest federally regulated medical marijuana market.	article		https://mjbizdaily.com/german-cannabis-imports-rise-to-34-tons/		1715376400	April 26, 2024
26	Now is the time for cannabis banking reform, key Democrat says	Federal lawmakers are inching closer to a deal on legislation that could include cannabis banking reform, a leading House Democrat says.	article		https://mjbizdaily.com/now-is-the-time-for-cannabis-banking-reform-key-democrat-says/		1715376400	April 25, 2024
27	Canadas cannabis sales rise 1.7% in February year-over-year	Canadian cannabis sales in regulated channels inched higher in February 2024 compared to the same month last year, boosted slightly by the extra day for leap year.	article		https://mjbizdaily.com/canadas-cannabis-sales-rise-1-7-in-february-year-over-year/		1715376400	April 24, 2024
28	Congress could include cannabis banking in FAA, crypto bills	Supporters of long-awaited cannabis banking reform are pinning hopes on Congress packaging a marijuana bill with must-pass legislation.	article		https://mjbizdaily.com/congress-could-include-cannabis-banking-in-faa-crypto-bills/		1715376400	April 24, 2024
29	Cresco Labs cannabis cultivation employees in Massachusetts ditch union	Employees at a Cresco Labs cannabis cultivation facility in Fall River, Massachusetts, voted to de-unionize earlier this month.	article		https://mjbizdaily.com/cresco-labs-cannabis-cultivation-workers-in-massachusetts-exit-union/		1715376400	April 23, 2024
30	New York cannabis associations divided on issuing more adult-use licenses	Two prominent New York cannabis industry associations disagree about whether regulators should accelerate the issuance of retail licenses in the state.	article		https://mjbizdaily.com/new-york-cannabis-associations-divided-on-issuing-more-adult-use-licenses/		1715376400	April 23, 2024
31	North Carolina tribe begins states first medical cannabis sales on 4/20	Hundreds of customers flocked to the Great Smoky Cannabis Co. on 4/20 to celebrate the launch of medical cannabis sales on tribal lands near Asheville, North Carolina.	article		https://mjbizdaily.com/north-carolina-tribe-begins-states-first-medical-cannabis-sales-on-420/		1715376400	April 22, 2024
32	Why are US officials seizing regulated cannabis in New Mexico?	A New Mexico congressman is pressing the U.S. Department of Homeland Security to account for what regulated marijuana operators claim is a rash of seizures of state-legal cannabis at Customs and Border Protection checkpoints.	article		https://mjbizdaily.com/customs-border-patrol-seizing-regulated-cannabis-in-new-mexico/		1715376400	April 22, 2024
33	Constellation Brands converts shares in cannabis operator Canopy, departs board	Beverage alcohol company Constellation Brands has converted its shares in Canadian cannabis company Canopy Growth Corp. into new exchangeable shares.	article		https://mjbizdaily.com/constellation-brands-converts-shares-in-cannabis-operator-canopy-departs-board/		1715376400	April 19, 2024
34	Kentucky medical cannabis businesses can apply for licenses this summer	Kentucky medical cannabis operators can apply for business licenses as early as July, setting up an MMJ market launch in early 2025.	article		https://mjbizdaily.com/kentucky-medical-cannabis-businesses-can-apply-for-licenses-this-summer/		1715376400	April 18, 2024
35	Coda Signature cannabis edibles to return to Colorado after acquisition	Colorado cannabis edibles brand Coda Signature will live on after the manufacturers assets were acquired byCanvas 1839 Group for an undisclosed sum.	article		https://mjbizdaily.com/coda-signature-cannabis-edibles-to-return-to-colorado-after-acquisition/		1715376400	April 18, 2024
36	North Dakota recreational cannabis legalization campaign launches	North Dakota voters could see a consumer-friendly, yet highly regulated recreational cannabis legalization proposal on their November ballots.	article		https://mjbizdaily.com/north-dakota-recreational-cannabis-legalization-campaign-launches/		1715376400	April 17, 2024
37	Cannabis tech company Agrify to be acquired by Natures Miracle	Cannabis production technology company Agrify Corp. is being acquired by controlled environment agriculture tech firm Natures Miracle Holding in a deal that values Agrifys equity at roughly $6.3 million.	article		https://mjbizdaily.com/cannabis-tech-company-agrify-to-be-acquired-by-natures-miracle/		1715376400	April 17, 2024
38	Wana CEO Whiteman exiting cannabis edibles company; Hodas will take reins	Nancy Whiteman, the co-founder and CEO of Wana Brands cannabis edibles company, in May will relinquish the top post to marketing chief Joe Hodas.	article		https://mjbizdaily.com/wana-bands-ceo-whiteman-exiting-cannabis-edibles-firm-hodas-to-take-reins/		1715376400	April 16, 2024
39	Arizona cannabis social equity reform failure highlights broader struggle	Predatory investors hijacked the cannabis social equity program in Arizona, where only three of the original 26 license winners still have a stake in their businesses, according to allegations filed in court and repeated in the state Legislature.	article		https://mjbizdaily.com/arizona-marijuana-social-equity-reform-failure-highlights-struggle/		1715376400	April 16, 2024
40	California task force seizes $53M-plus of illicit cannabis in first quarter	A multiagency task force in California seized more than $53 million worth of illegal cannabis products in the first quarter of 2024.	article		https://mjbizdaily.com/california-task-force-seizes-53m-plus-of-illicit-cannabis/		1715376400	April 15, 2024
41	Cannabis staffing company Vangst acquires largest competitor	Vangst, a major cannabis industry staffing platform, acquired CannabizTemp in what is believed to be the first such move in the marijuana human resources sector.	article		https://mjbizdaily.com/cannabis-staffing-company-vangst-acquires-largest-competitor/		1715376400	April 12, 2024
42	New Hampshire adult-use cannabis bill heads to Senate for third straight year	The New Hampshire House passed another adult-use cannabis legalization bill, but getting it through the Senate has been a perennial challenge.	article		https://mjbizdaily.com/new-hampshire-adult-use-cannabis-bill-heads-to-senate/		1715376400	April 12, 2024
43	California Eaze cannabis workers ready to strike on 4/20 over wages, mileage and benefits	Disgruntled California workers at Eaze Technologies and its cannabis delivery subsidiary, Stachs, reiterated plans to go on strike  just before the unofficial marijuana holiday of April 20  for many of the reasons industry workers are unionizing nationwide.	article		https://mjbizdaily.com/california-eaze-cannabis-workers-ready-to-strike-on-4-20/		1715376400	April 12, 2024
44	California recalls Mike Tyson-brand cannabis flower containing mold	California has issued a mandatory recall for cannabis flower branded by celebrity boxer Mike Tyson, citing contamination by aspergillus mold.	article		https://mjbizdaily.com/california-recalls-mike-tyson-brand-cannabis-flower-containing-mold/		1715376400	April 11, 2024
45	Chicago Atlantic lends $20 million to Nova Farms cannabis operator	Cannabis industry lender Chicago Atlantic issued a $20 million loan to Massachusetts-based multistate operator Nova Farms.	article		https://mjbizdaily.com/chicago-atlantic-lends-20-million-to-nova-farms-cannabis-operator/		1715376400	April 10, 2024
46	Surrey, British Columbia, moves to allow legal cannabis retail	Surrey, the second-biggest city in the Canadian province of British Columbia, will allow legal cannabis stores after unanimous Council approval.	article		https://mjbizdaily.com/surrey-british-columbia-moves-to-allow-legal-cannabis-retail/		1715376400	April 10, 2024
47	NC district attorney vows to enforce law when tribal cannabis dispensary opens	A potential showdown between law enforcement and a Native American tribe is brewing in North Carolina, where a district attorney has vowed to enforce state law once the states first medical cannabis dispensary opens later this month.	article		https://mjbizdaily.com/district-attorney-vows-to-enforce-law-ahead-of-nc-tribal-dispensary-opening/		1715376400	April 9, 2024
48	Cannabis operator Tilray lowers 2024 expectations, eyes Canada tax savings	Canadian cannabis and beverage alcohol company Tilray Brands has lowered its financial guidance, reducing expectations for investors in its third-quarter earnings announcement.	article		https://mjbizdaily.com/tilray-lowers-expectations-for-2024-could-save-80-million-if-taxes-cut/		1715376400	April 9, 2024
49	Ontario regulator fines Cannabis Xpress, alleges pay-to-play	Ontarios cannabis retail regulator, the Alcohol and Gaming Commission of Ontario (AGCO), fined Cannabis Xpress 200,000 Canadian dollars ($147,000) for allegedly violating the provinces anti-inducement law for cannabis retailers.	article		https://mjbizdaily.com/ontario-regulator-fines-cannabis-xpress-alleges-pay-to-play/		1715376400	April 9, 2024
50	Decibel Cannabis former CEO Sze takes helm again	Canadian marijuana grower and manufacturer Decibel Cannabis Co. has appointed Benjamin Sze as CEO once again.	article		https://mjbizdaily.com/benjamin-sze-returns-as-decibel-cannabis-ceo/		1715376400	April 8, 2024
51	New Mexico reports record cannabis sales of $52 million in March	New Mexico set a monthly record for recreational and medical cannabis sales with more than $52 million in March.	article		https://mjbizdaily.com/new-mexico-reports-record-cannabis-sales-of-52-million-in-march/		1715376400	April 5, 2024
52	Iowa to restrict hemp-derived cannabis products	Iowa will restrict hemp-derived cannabis products and expand its medical marijuana program under a bill headed to the governors desk.	article		https://mjbizdaily.com/iowa-to-restrict-hemp-derived-cannabis-products/		1715376400	April 5, 2024
53	Hawaii House dooms adult-use cannabis legalization again	Despite growing optimism that Hawaii would launch an adult-use cannabis market this year, hopes vanished this week when House Finance Chair Kyle Yamashita declined to hold a vote on the legalization bill.	article		https://mjbizdaily.com/hawaii-house-dooms-adult-use-cannabis-legalization-again/		1715376400	April 4, 2024
54	Missouri high court strips medical cannabis license from applicant	The Missouri Supreme Court reversed an appeals court decision that said Mo Cann Do should be granted a medical cannabis license.	article		https://mjbizdaily.com/missouri-high-court-strips-medical-cannabis-license-from-applicant/		1715376400	April 4, 2024
55	Cannabis operators delinquent payments total more than $3.8 billion, report says	Total delinquent payments by U.S. cannabis operators have exceeded $3.8 billion and could balloon to $4.2 billion in 2024 without some intervention.	article		https://mjbizdaily.com/cannabis-operators-delinquent-payments-total-more-than-3-8-billion-report-says/		1715376400	April 3, 2024
56	Canadian producer Heritage Cannabis granted creditor protection	Heritage Cannabis is the latest Canadian marijuana producer to obtain an order for creditor protection as a wave of insolvencies continues to sweep across the nations adult-use market.	article		https://mjbizdaily.com/canadian-producer-heritage-cannabis-granted-creditor-protection/		1715376400	April 3, 2024
57	CEO of Aussie cannabis firm Cann Group resigns amid new strategic direction	Cann Group Limited CEO Peter Koetsier is resigning from the Melbourne cannabis company for family reasons,	article		https://mjbizdaily.com/cannabis-firm-cann-group-ceo-peter-koetsier-resigns-amid-new-direction/		1715376400	April 2, 2024
58	Cannabis operator Goodness Growth selling Vireo Health of New York	Cannabis multistate operator Goodness Growth Holdings is selling its subsidiary Vireo Health of New York (VireoNY) to Ace Venture Enterprises for $3 million-$5 million as the company works to amend a credit agreement with its secured lender.	article		https://mjbizdaily.com/cannabis-operator-goodness-growth-selling-vireo-health-of-new-york/		1715376400	April 2, 2024
59	Imperial Brands converts CA$123 million in debt to Auxly Cannabis shares	Imperial Brands has converted more than 123.4 million Canadian dollars ($90.6 million) in total debt to shares of Auxly Cannabis Group, formally giving the British tobacco giant a 19.8% ownership position in the Toronto-based marijuana company.	article		https://mjbizdaily.com/imperial-brands-converts-ca123-million-in-debt-to-auxly-cannabis-shares/		1715376400	April 1, 2024
60	Germanys new law legalizing limited adult-use cannabis market now in force	Germanys cannabis law took effect Monday, making it the second Group of Seven country to legalize and regulate adult-use cannabis nationally.	article		https://mjbizdaily.com/new-german-law-legalizing-adult-use-cannabis-now-in-force/		1715376400	April 1, 2024
61	Standard Wellness buys Utah Cannabist medical marijuana dispensary for $6.5M	Multistate operator Standard Wellness Holdings has acquired a medical marijuana dispensary in Springville, Utah in a deal that yielded $6.5 million for seller The Cannabist Co.	article		https://mjbizdaily.com/standard-wellness-buys-utah-cannabist-medical-marijuana-dispensary/		1715376400	April 1, 2024
62	Growing Colombia cannabis exports reach $10.8 million as government extends sell-by dates	Colombias medical cannabis exports continued to grow last year, although sales still havent reached the level that the countrys operators envisioned.	article		https://mjbizdaily.com/growing-colombia-cannabis-exports-reach-11-million/		1715376400	April 1, 2024
63	Planet 13 to open Las Vegas second cannabis consumption lounge	The second state-approved cannabis consumption lounge will open in Las Vegas on April 5.	article		https://mjbizdaily.com/planet-13-to-open-las-vegas-second-cannabis-consumption-lounge/		1715376400	March 29, 2024
64	Want to shatter cannabis grass ceiling? Heres how these women did it	What these women in cannabis say about raising capital, social equity and what they wish they had known before entering the industry.	article		https://mjbizdaily.com/how-are-women-faring-in-cannabis-state-of-marijuana/		1715376400	March 29, 2024
65	Cannabis operator Glass House posts record revenue of $160.8 million in 2023	California cannabis producer and retailer Glass House Brands reported fourth-quarter improvements in gross profits and margins for the fourth quarter of 2023, leading to record revenue of $160.8 million for the full year.	article		https://mjbizdaily.com/cannabis-operator-glass-house-brands-posts-2023-revenue-of-160m/		1715376400	March 28, 2024
66	Cannabis producer Rubicon reports quarterly profit of nearly CA$900,000	Rubicon Organics reported a modest profit of 889,166 Canadian dollars ($656,000) in its fourth quarter ended Dec. 31, 2023, but the Canadian cannabis producers loss for the fiscal year amounted to CA$1.1 million.	article		https://mjbizdaily.com/canadian-cannabis-producer-rubicon-reports-modest-quarterly-profit/		1715376400	March 28, 2024
67	New Zealand cannabis company Cannasouth reviewing financial health	New Zealand medical cannabis company Cannasouth Limited has entered voluntary administration, a process that allows for an administrator to review and rearrange the financial affairs of insolvent or near-insolvent companies.	article		https://mjbizdaily.com/new-zealand-cannabis-company-cannasouth-reviewing-financial-health/		1715376400	March 28, 2024
68	Ontario eyes CA$600 million cannabis windfall, pledges online crackdown	Ontarios provincial government is budgeting for a record windfall of more than 600 million Canadian dollars ($442 million) in the next fiscal year from cannabis wholesale profits and its portion of the federal excise tax.	article		https://mjbizdaily.com/ontario-eyes-ca600-million-cannabis-windfall-pledges-online-crackdown/		1715376400	March 27, 2024
69	AFC Gamma provides $34 million to Sunburn Cannabis in debt capital	Marijuana industry lender AFC Gamma provided $34 million in debt capital to Florida-based dispensary operator Sunburn Cannabis.	article		https://mjbizdaily.com/afc-gamma-provides-34-million-to-sunburn-cannabis-in-debt-capital/		1715376400	March 27, 2024
70	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	Organigram Holdings has dipped into its strategic investment pool to pick up a minority stake in Roxboro, North Carolina-based Open Book Extracts as part of its plan to target emerging cannabis markets in the United States and elsewhere.	article		https://mjbizdaily.com/canadian-cannabis-producer-organigram-enters-us-plans-ca25-million-raise/		1715376400	March 27, 2024
71	Massachusetts cannabis regulator expanding secret shopper program	Massachusetts Cannabis Control Commission (CCC) is reportedly working to expand a secret shopper program as it tries to regulate issues with marijuana packaging and labeling compliance.	article		https://mjbizdaily.com/massachusetts-expanding-cannabis-secret-shopper-program/		1715376400	March 26, 2024
72	Auxly auditor flags going concern risk as cannabis firm reports smaller loss	Auxly Cannabis Groups record 2023 sales helped substantially improve its net loss, but an auditor flagged a significant doubt over the companys ability to continue as a going concern.	article		https://mjbizdaily.com/auxly-cannabis-auditor-flags-going-concern-risk-despite-smaller-loss/		1715376400	March 25, 2024
73	Maryland cannabis retail zoning would be less restrictive under new bill	Maryland county governments could have less control on where recreational cannabis stores set up shop if a bill that moved ahead in the state General Assembly is passed into law.	article		https://mjbizdaily.com/maryland-cannabis-retail-zoning-would-be-less-restrictive-under-new-bill/		1715376400	March 25, 2024
74	Germany recreational cannabis legalization bill clears last hurdle	Germanys landmark recreational cannabis law will go into effect on April 1 after clearing the final regulatory hurdle on Friday.	article		https://mjbizdaily.com/germany-recreational-cannabis-legalization-bill-clears-last-hurdle/		1715376400	March 22, 2024
75	Canadian cannabis operator SNDL halves annual loss to CA$176.6 million	Alberta cannabis and alcohol company SNDL cut its annual loss in fiscal 2023 in half  to 176.6 million Canadian dollars ($130.5 million)  on strong sales growth.	article		https://mjbizdaily.com/canadian-cannabis-operator-sndl-halves-annual-loss-to-ca176-6-million/		1715376400	March 21, 2024
76	280E, new markets and wholesale revenue highlight cannabis earnings season	Tax strategies took the spotlight in fourth-quarter financial reports from publicly traded U.S. cannabis companies.	article		https://mjbizdaily.com/280e-new-markets-wholesale-revenue-top-cannabis-earnings-season/		1715376400	March 21, 2024
77	Kansas medical cannabis proposal would be among nations strictest	Seriously ill people in Kansas would be able to access nonsmokable medical cannabis from pharmacies if a bill introduced in the state Senate becomes law.	article		https://mjbizdaily.com/kansas-medical-cannabis-proposal-would-be-among-strictest/		1715376400	March 20, 2024
78	Marijuana MSO The Cannabist Co. raises $25.75 million	Marijuana multistate operator The Cannabist Co. raised $25.75 million in senior secured convertible debentures.	article		https://mjbizdaily.com/marijuana-mso-the-cannabist-co-raises-25-75-million/		1715376400	March 20, 2024
79	Florida bill aims to award medical cannabis licenses to 3 Black farmers	Florida lawmakers are again trying to expand the number of medical cannabis licenses reserved for Black farmers in the state  a contentious issue that has been under debate for years.	article		https://mjbizdaily.com/florida-bill-aims-to-award-medical-cannabis-licenses-to-3-black-farmers/		1715376400	March 19, 2024
80	New York governor orders exam of cannabis regulator, adult-use licensing	New Yorks governor has ordered examiners to assess the states cannabis regulator and processes related to adult-use licensing.	article		https://mjbizdaily.com/new-york-governor-orders-exam-of-cannabis-regulator-adult-use-licensing/		1715376400	March 18, 2024
81	Retailer High Tide acquires premium cannabis brand Queen of Bud for CA$1M	Canadian cannabis retailer High Tide has entered into a definitive agreement to acquire high-end brand Queen of Bud, including all intellectual property, trademarks and other assets.	article		https://mjbizdaily.com/high-tide-acquires-cannabis-brand-queen-of-bud/		1715376400	March 18, 2024
82	How R&D cannabis lines help cultivators conduct market research	R&D cannabis lines  or limited-edition, small-batch flower  can create a line of communication between cultivators and consumers, enabling marijuana operators to conduct market research while still bringing in revenue.	article		https://mjbizdaily.com/how-limited-edition-cannabis-lines-help-cultivators-conduct-market-research/		1715376400	March 18, 2024
83	Retailer High Tide reports break-even net income, record cannabis sales	Canadian cannabis retailer High Tide reported break-even net income and positive free cash flow in its financial results for the first quarter of fiscal 2024.	article		https://mjbizdaily.com/high-tide-reports-break-even-net-income-record-cannabis-sales/		1715376400	March 15, 2024
84	Canadas finance minister warned about cannabis industry financial distress	Canadian Finance Minister Chrystia Freeland was warned last fall about systemic financial distress facing the countrys cannabis producers, including skyrocketing tax debt and widespread insolvencies.	article		https://mjbizdaily.com/canada-finance-minister-warned-about-cannabis-industry-financial-distress/		1715376400	March 15, 2024
85	Trulieve Cannabis files lawsuit against ex-CFO contesting $350K in expenses	Florida-based marijuana multistate operator Trulieve Cannabis has filed a lawsuit against a former chief financial officer for misappropriating hundreds of thousands of dollars tied to personal expenses.	article		https://mjbizdaily.com/trulieve-cannabis-files-lawsuit-against-ex-cfo-contesting-350k-in-expenses/		1715376400	March 14, 2024
