id	title	asset_type	asset_id	organisation_id	user_id	creator_id	system_score	user_score	created	opened	deleted	saved	clicked_out
35	Cannabis operator Canopy raising $35 million in upsized private placement	content	2	1	143	143	0.27		1715376481	1715383681	1715394481	1715387281	1715390881
36	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	1	143	144	0.51		1715376481		1715383681		
37	Emanuel Zareh | Investor, Professor. Focused on venture capital and multi-asset class opportunities Talks about #startup, #founders, #fundraising, #seedfunding, and #venturecapital	contact	150	1	143	144	0.47		1715376481	1715383681	1715380261		1715387281
38	Harete Enriquez | Breakthrough Therapy for People Living with Parkinson’s Disease	contact	396	1	143	143	0.45		1715376481	1715383681	1715390881		1715387281
39	Jaime Cahalan | COO at Stanley Brothers USA Holdings, Inc.	contact	322	1	143	144	0.42		1715376481	1715380081			
40	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	1	143	99	0.42		1715376481		1715383681		
41	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	1	143	144	0.46		1715376481	1715383681			
42	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	1	143	98	0.46		1715376481	1715380081	1715383681	1715380381	1715383981
43	Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options	event	1203	1	143	144	0.41		1715376481	1715383681		1715380261	1715380141
44	Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*	event	436	1	143	144	0.34		1715376481	1715383681	1715390881	1715387281	1715380141
45	Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges	event	1241	1	143	99	0.33		1715376481	1715383681		1715387281	
46	AFC Gamma is looking to finance unburdened cannabis borrowers	content	95	1	144	144	0.31		1715376481	1715383681		1715387281	1715383981
47	Massachusetts cannabis regulator expanding secret shopper program	content	71	1	144	143	0.3		1715376481	1715383681	1715387281		
48	Institutional investor puts $50 million into cannabis operator Canopy Growth	content	14	1	144	98	0.29		1715376481	1715380081	1715383681	1715380261	1715380141
49	AFC Gamma provides $34 million to Sunburn Cannabis in debt capital	content	69	1	144	143	0.28		1715376481	1715380081		1715380381	1715383981
50	Cannabis operator Canopy raising $35 million in upsized private placement	content	2	1	144	98	0.27		1715376481	1715380081			
51	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	1	144	98	0.51		1715376481	1715383681	1715380141	1715387281	
52	Emanuel Zareh | Investor, Professor. Focused on venture capital and multi-asset class opportunities Talks about #startup, #founders, #fundraising, #seedfunding, and #venturecapital	contact	150	1	144	143	0.47		1715376481	1715383681	1715380141		
53	Harete Enriquez | Breakthrough Therapy for People Living with Parkinson’s Disease	contact	396	1	144	144	0.45		1715376481	1715380081	1715383681	1715380381	
54	Jaime Cahalan | COO at Stanley Brothers USA Holdings, Inc.	contact	322	1	144	143	0.42		1715376481	1715383681		1715380261	1715380141
55	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	1	144	98	0.42		1715376481	1715383681		1715380381	1715387281
56	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	1	144	143	0.46		1715376481		1715380081		
57	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	1	144	144	0.46		1715376481	1715380081	1715380261		1715380141
58	Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options	event	1203	1	144	99	0.41		1715376481	1715383681		1715387281	1715380141
59	Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*	event	436	1	144	144	0.34		1715376481	1715383681	1715390881	1715380261	1715387281
60	Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges	event	1241	1	144	143	0.33		1715376481	1715383681		1715380381	1715383981
61	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	18	96	143	0.38		1715376500	1715383700	1715380280		1715387300
62	How R&D cannabis lines help cultivators conduct market research	content	82	18	96	144	0.31		1715376500	1715380100	1715383700	1715380400	1715384000
63	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	18	96	144	0.31		1715376500	1715383700	1715390900	1715380400	1715387300
64	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	18	96	144	0.3		1715376500	1715383700	1715390900		1715387300
65	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	18	96	144	0.3		1715376500	1715383700	1715387300		
66	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	18	96	99	0.62		1715376500		1715383700		
67	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	18	96	143	0.58		1715376500	1715383700	1715387300	1715380400	1715384000
68	Erin Alexander | Content @ TechGC	contact	416	18	96	98	0.56		1715376500	1715383700	1715387300		
69	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	18	96	143	0.56		1715376500	1715383700	1715380160	1715387300	
70	Ernesto Billones | Investor Relations Associate	contact	398	18	96	143	0.54		1715376500	1715383700	1715390900	1715380280	1715387300
71	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	18	96	143	0.44		1715376500	1715383700		1715380280	1715380160
72	Canna Connect 04 Community Service Event | Uptown Minneapolis Clean Up	event	636	18	96	98	0.43		1715376500	1715383700	1715390900		1715387300
73	Innovation CannaTech 2024	event	8	18	96	98	0.42		1715376500	1715383700	1715390900		1715387300
74	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	18	96	98	0.41		1715376500	1715380100		1715380280	1715380160
75	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	18	96	143	0.4		1715376500	1715380100	1715383700		
76	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	18	100	144	0.38		1715376500	1715383700		1715380400	1715384000
77	How R&D cannabis lines help cultivators conduct market research	content	82	18	100	143	0.31		1715376500	1715383700		1715380280	1715387300
78	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	18	100	144	0.31		1715376500	1715383700			
79	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	18	100	99	0.3		1715376500	1715380100			
80	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	18	100	98	0.3		1715376500	1715380100			
81	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	18	100	99	0.62		1715376500	1715383700	1715390900	1715380400	1715387300
82	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	18	100	144	0.58		1715376500	1715383700		1715380400	1715387300
83	Erin Alexander | Content @ TechGC	contact	416	18	100	98	0.56		1715376500	1715383700		1715380400	1715387300
84	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	18	100	98	0.56		1715376500	1715383700			
85	Ernesto Billones | Investor Relations Associate	contact	398	18	100	144	0.54		1715376500		1715383700		
86	Supply Chain Challenges and Cannabis: A Global Outlook for 2022	event	1208	18	100	99	0.44		1715376500	1715383700	1715394500	1715387300	1715390900
87	Canna Connect 04 Community Service Event | Uptown Minneapolis Clean Up	event	636	18	100	99	0.43		1715376500	1715383700	1715390900		1715387300
88	Innovation CannaTech 2024	event	8	18	100	143	0.42		1715376500	1715380100		1715380400	1715384000
89	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	18	100	99	0.41		1715376500	1715383700		1715387300	1715390900
90	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	18	100	144	0.4		1715376500	1715383700	1715380160		
91	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	19	101	143	0.38		1715376513	1715383713		1715380293	1715380173
92	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	19	101	144	0.31		1715376513	1715380113	1715383713		
93	How R&D cannabis lines help cultivators conduct market research	content	82	19	101	99	0.31		1715376513	1715383713	1715387313		
94	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	19	101	98	0.3		1715376513	1715383713	1715390913	1715387313	1715380173
95	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	19	101	98	0.3		1715376513	1715383713			1715387313
96	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	19	101	98	0.62		1715376513	1715383713	1715390913	1715380413	1715387313
97	Christine Parman | Cannabis	contact	220	19	101	144	0.52		1715376513	1715383713		1715387313	1715390913
98	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	19	101	98	0.51		1715376513	1715383713	1715394513	1715387313	1715390913
99	Ernesto Billones | Investor Relations Associate	contact	398	19	101	98	0.49		1715376513	1715383713	1715390913	1715387313	1715384013
100	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	19	101	99	0.44		1715376513	1715380113	1715383713		1715380173
101	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	19	101	144	0.37		1715376513	1715380113		1715380293	1715380173
102	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	19	101	143	0.37		1715376513	1715383713		1715380413	
103	Surna: What to Expect When You're Expanding or Retrofitting	event	1245	19	101	143	0.37		1715376513	1715380113		1715380293	1715380173
104	AGronomic IQ: Maximizing Your Investment with Smart HVAC Decisions	event	1211	19	101	144	0.36		1715376513	1715383713			
105	IRS Audits: Mistakes to Avoid	event	1202	19	101	99	0.36		1715376513	1715383713		1715387313	
106	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	19	102	99	0.38		1715376513	1715383713	1715390913		1715387313
107	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	19	102	99	0.31		1715376513	1715383713			1715387313
108	How R&D cannabis lines help cultivators conduct market research	content	82	19	102	98	0.31		1715376513	1715383713			
109	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	19	102	98	0.3		1715376513	1715380113	1715383713		
110	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	19	102	143	0.3		1715376513	1715383713	1715390913		1715387313
111	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	19	102	98	0.62		1715376513	1715380113	1715383713	1715380413	1715384013
112	Christine Parman | Cannabis	contact	220	19	102	143	0.52		1715376513	1715383713		1715380293	1715380173
113	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	19	102	144	0.51		1715376513	1715383713		1715380293	1715380173
114	Ernesto Billones | Investor Relations Associate	contact	398	19	102	99	0.49		1715376513	1715383713	1715380113		
115	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	19	102	98	0.44		1715376513	1715383713	1715390913		1715387313
116	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	19	102	144	0.37		1715376513	1715380113	1715383713		1715380173
117	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	19	102	143	0.37		1715376513	1715383713		1715387313	1715390913
118	Surna: What to Expect When You're Expanding or Retrofitting	event	1245	19	102	143	0.37		1715376513	1715383713		1715380413	
119	AGronomic IQ: Maximizing Your Investment with Smart HVAC Decisions	event	1211	19	102	98	0.36		1715376513	1715380113	1715383713		
120	IRS Audits: Mistakes to Avoid	event	1202	19	102	99	0.36		1715376513	1715380113	1715383713		
121	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	19	103	144	0.38		1715376513	1715380113	1715383713		1715380173
122	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	19	103	98	0.31		1715376513	1715383713			
123	How R&D cannabis lines help cultivators conduct market research	content	82	19	103	143	0.31		1715376513	1715380113			
124	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	19	103	98	0.3		1715376513	1715383713		1715380413	
125	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	19	103	143	0.3		1715376513	1715383713	1715390913		1715387313
126	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	19	103	144	0.62		1715376513	1715383713	1715394513	1715387313	1715390913
127	Christine Parman | Cannabis	contact	220	19	103	98	0.52		1715376513	1715383713	1715380113		1715387313
128	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	19	103	143	0.51		1715376513	1715383713			1715380173
129	Ernesto Billones | Investor Relations Associate	contact	398	19	103	98	0.49		1715376513	1715383713		1715387313	
130	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	19	103	99	0.44		1715376513	1715383713	1715390913	1715380413	1715387313
131	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	19	103	98	0.37		1715376513	1715383713		1715387313	1715390913
132	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	19	103	98	0.37		1715376513	1715383713	1715390913		1715387313
133	Surna: What to Expect When You're Expanding or Retrofitting	event	1245	19	103	144	0.37		1715376513	1715383713	1715394513	1715387313	1715390913
134	AGronomic IQ: Maximizing Your Investment with Smart HVAC Decisions	event	1211	19	103	98	0.36		1715376513	1715383713		1715387313	
135	IRS Audits: Mistakes to Avoid	event	1202	19	103	143	0.36		1715376513	1715383713		1715387313	1715380173
136	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	20	104	144	0.38		1715376525	1715383725	1715390925		1715387325
137	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	20	104	99	0.31		1715376525	1715383725		1715380425	1715387325
138	How R&D cannabis lines help cultivators conduct market research	content	82	20	104	144	0.31		1715376525	1715380125	1715383725		1715380185
139	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	20	104	144	0.3		1715376525	1715383725	1715390925	1715380425	1715387325
140	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	20	104	143	0.3		1715376525	1715380125	1715383725		1715380185
141	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	20	104	144	0.62		1715376525	1715383725		1715380425	1715387325
142	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	20	104	143	0.56		1715376525	1715383725		1715387325	1715380185
143	Erin Alexander | Content @ TechGC	contact	416	20	104	143	0.56		1715376525	1715380125	1715383725	1715380305	1715380185
144	Christine Parman | Cannabis	contact	220	20	104	144	0.52		1715376525	1715383725		1715380305	1715380185
145	David Gonzales | Founder of “A Cannabis Company” , #ÅCannabis Magician🐇🤠 , Specializes in verbal telekinesis	contact	290	20	104	143	0.51		1715376525	1715380125	1715383725		
146	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	20	104	99	0.4		1715376525	1715380125	1715380185		
147	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	20	104	144	0.37		1715376525	1715383725	1715380305	1715387325	1715390925
148	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	20	104	98	0.37		1715376525	1715380125	1715383725	1715380425	1715384025
149	Surna: What to Expect When You're Expanding or Retrofitting	event	1245	20	104	143	0.37		1715376525				
150	AGronomic IQ: Maximizing Your Investment with Smart HVAC Decisions	event	1211	20	104	99	0.36		1715376525	1715383725	1715390925	1715380425	1715387325
151	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	21	105	99	0.38		1715376541	1715383741		1715387341	
152	How R&D cannabis lines help cultivators conduct market research	content	82	21	105	99	0.31		1715376541	1715383741	1715394541	1715387341	1715390941
153	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	21	105	99	0.31		1715376541	1715380141		1715380321	1715380201
154	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	21	105	98	0.3		1715376541	1715383741	1715394541	1715387341	1715390941
155	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	21	105	98	0.3		1715376541	1715383741	1715390941	1715380441	1715387341
156	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	21	105	144	0.62		1715376541	1715380141			
157	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	21	105	144	0.56		1715376541	1715383741	1715380141		1715387341
158	Erin Alexander | Content @ TechGC	contact	416	21	105	143	0.56		1715376541	1715383741	1715394541	1715387341	1715390941
159	Ernesto Billones | Investor Relations Associate	contact	398	21	105	144	0.54		1715376541	1715383741	1715394541	1715387341	1715390941
160	Jesse Channon | Chief Commercial Officer at Columbia Care	contact	333	21	105	143	0.53		1715376541	1715383741	1715390941	1715380321	1715387341
161	Innovation CannaTech 2024	event	8	21	105	98	0.42		1715376541	1715380141	1715383741	1715380321	1715380201
162	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	21	105	99	0.4		1715376541	1715383741	1715394541	1715387341	1715390941
163	Grower Spotlight: Aeriz	event	1222	21	105	99	0.39		1715376541	1715383741	1715380321		1715387341
164	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	21	105	143	0.39		1715376541	1715383741	1715387341	1715380441	
165	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	21	105	99	0.37		1715376541	1715383741		1715380441	
166	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	21	106	98	0.38		1715376541	1715383741	1715380321		1715387341
167	How R&D cannabis lines help cultivators conduct market research	content	82	21	106	99	0.31		1715376541	1715383741	1715390941		1715387341
168	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	21	106	99	0.31		1715376541	1715380141			
169	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	21	106	98	0.3		1715376541	1715383741			
170	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	21	106	144	0.3		1715376541	1715380141	1715383741		
171	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	21	106	98	0.62		1715376541	1715380141	1715383741		
172	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	21	106	143	0.56		1715376541	1715380141		1715380441	1715384041
173	Erin Alexander | Content @ TechGC	contact	416	21	106	98	0.56		1715376541	1715383741			
174	Ernesto Billones | Investor Relations Associate	contact	398	21	106	143	0.54		1715376541	1715383741	1715387341		
175	Jesse Channon | Chief Commercial Officer at Columbia Care	contact	333	21	106	98	0.53		1715376541	1715380141	1715380321		1715380201
176	Innovation CannaTech 2024	event	8	21	106	144	0.42		1715376541	1715380141	1715383741	1715380441	1715384041
177	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	21	106	144	0.4		1715376541	1715380141	1715383741		
178	Grower Spotlight: Aeriz	event	1222	21	106	144	0.39		1715376541	1715383741	1715390941	1715387341	1715380201
179	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	21	106	143	0.39		1715376541	1715383741	1715387341	1715380441	1715384041
180	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	21	106	98	0.37		1715376541	1715383741			
181	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	21	107	99	0.38		1715376541	1715383741	1715380321		1715387341
182	How R&D cannabis lines help cultivators conduct market research	content	82	21	107	98	0.31		1715376541	1715383741	1715390941	1715387341	1715380201
183	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	21	107	143	0.31		1715376541	1715383741	1715394541	1715387341	1715390941
184	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	21	107	99	0.3		1715376541	1715380141		1715380321	1715380201
185	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	21	107	144	0.3		1715376541	1715380141	1715383741		
186	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	21	107	98	0.62		1715376541	1715383741	1715387341		
187	Ruben Seyde | “The Cannabis Guy” | Delivered, Inc Founder | Sharing my experiences as a Mexican entrepreneur | Follow along for cannabis insights, behind-the-scenes action, and motivation	contact	280	21	107	144	0.56		1715376541	1715383741	1715380201	1715387341	
188	Erin Alexander | Content @ TechGC	contact	416	21	107	144	0.56		1715376541	1715383741			
189	Ernesto Billones | Investor Relations Associate	contact	398	21	107	143	0.54		1715376541	1715383741		1715380441	1715387341
190	Jesse Channon | Chief Commercial Officer at Columbia Care	contact	333	21	107	98	0.53		1715376541	1715383741	1715394541	1715387341	1715390941
191	Innovation CannaTech 2024	event	8	21	107	98	0.42		1715376541	1715380141		1715380441	1715384041
192	Ignite your Cannabis Brand: Unconventional Strategies for Regulatory Market	event	430	21	107	143	0.4		1715376541	1715380141		1715380441	1715384041
193	Grower Spotlight: Aeriz	event	1222	21	107	99	0.39		1715376541	1715383741		1715387341	
194	Fund Your Business: Options for Raising Capital and Navigating M&A	event	1246	21	107	99	0.39		1715376541	1715383741		1715387341	1715390941
195	Supporting the Cannabis Industry with Industry Best Practice and Regulatory Compliance	event	1254	21	107	99	0.37		1715376541	1715383741	1715394541	1715387341	1715390941
196	Largest cannabis MSOs lay out modest expansion plans for 2024	content	137	22	108	98	0.38		1715376549	1715380149	1715380209		
197	280E, new markets and wholesale revenue highlight cannabis earnings season	content	76	22	108	143	0.31		1715376549	1715383749			
198	Jushi looks to boost efficiency as it awaits new adult-use cannabis markets	content	86	22	108	144	0.3		1715376549	1715383749	1715380209		1715387349
199	Canadian cannabis producer Organigram enters US, plans CA$25 million raise	content	70	22	108	99	0.3		1715376549	1715383749	1715380149	1715387349	
200	Arizona cannabis social equity reform failure highlights broader struggle	content	39	22	108	143	0.28		1715376549	1715383749	1715394549	1715387349	1715390949
201	Gabrielle Feldman | Program Manager for the Environmental Support Services Contract at NASA Ames Research Center	contact	386	22	108	143	0.62		1715376549	1715380149	1715383749		
202	Laura Farren | Academic Research Partnerships @ CareEvolution | Master's Degrees, Public Administration and Public Health	contact	402	22	108	143	0.56		1715376549	1715383749	1715387349		
203	Ernesto Billones | Investor Relations Associate	contact	398	22	108	144	0.54		1715376549	1715383749	1715380149	1715387349	1715390949
204	Christine Parman | Cannabis	contact	220	22	108	99	0.52		1715376549	1715383749	1715380209	1715387349	
205	Molly Rose | Partnerships at Checkr, Inc.	contact	221	22	108	99	0.49		1715376549		1715383749		
206	Hiring in the 21st Century. How Your Cannabis Company Culture Changes Everything	event	1256	22	108	143	0.5		1715376549		1715383749		
