id	title	event_type	description	start	end	location	url	price	organisation_id	created	last_modified	lon	lat
15	North Florida Entheogenic Conference & Expo	conferences	Welcome to the North Florida Entheogenic Conference!Join us at 102 6th Ave N for an enlightening and mind-expanding event. This in-person gathering is a unique opportunity to explore the fascinating world of entheogens and their potential benefits. Immerse yourself in insightful talks, and thought-provoking discussions led by experts in the field. Discover the latest research, ancient traditions, and modern practices surrounding entheogens. Connect with like-minded individuals, share experiences, and expand your knowledge. Whether you're a curious beginner or a seasoned explorer, this conference offers something for everyone. Don't miss out on this incredible opportunity to delve into the world of entheogens and discover new perspectives. Mark your calendars and join us for the North Florida Entheogenic Conference!	1718442000	1718470800	Jacksonville Beach, FL	https://www.eventbrite.com/e/north-florida-entheogenic-conference-expo-tickets-773206360037?aff=ebdssbdestsearch			1711440903	1714920364	-81.3931396	30.2946859
17	FlowerCon 2024	conferences	HempCon Cannabis Retail Show 2024 is the ultimate event for Dispensaries, Retailers, Growers, Cultivators, Distributors, and Many Flower Brands! Join us at the Cow Palace Arena & Event Center in Daly City, CA, USA for a blooming good time, smell the flowers, sample them, and check out the HempCon Cup winners and their products. Get ready to immerse yourself in a world of vibrant colors, enchanting fragrances, and breathtaking arrangements. Whether you're a seasoned buer, retailer or just have a green thumb, HempCon 2024 has something for everyone. Discover the latest trends , attend interactive workshops, and meet fellow flower enthusiasts. Don't miss this opportunity to celebrate the beautiful new flower products and their wonderful fragrances. Mark your calendars for HempCon 2024 and get ready to be inspired!	1722002400	1722193200	Daly City, CA	https://www.eventbrite.com/e/flowercon-2024-tickets-753501893447?aff=ebdssbdestsearch			1711440903	1714920379	-122.47267	37.6904826
19	Psychedelics Investing Forum	conferences	Thursday, August 29, 2024 - Psychedelics Investing ForumThe Psychedelics Investing Forum is a 1 - Day in person and live webinar Investor Conference.Time: 10 AM - 9 PM PDTFamecast Studio1533 26th Street Santa Monica, CA 90404Cannabis Investing Forum - 12 PM - 3 PMPsychedelics Investing Forum - 3 PM - 9 PMFree Zoom Webinar RegistrationComplimentary Tickets for Accredited InvestorsOpportunities to ParticipateSpeakersPresenting Companies Raising CapitalInvestor JudgesSponsorsExhibitorsVIP Gift Bag Product and Marketing Material Distribution	1724925600	1724965200	Santa Monica, CA	https://www.eventbrite.com/e/psychedelics-investing-forum-tickets-797132543897?aff=ebdssbdestsearch			1711440903	1714920391	-118.491227	34.0194704
48	Weekends with Cannabis	classes	The Importance of Understanding Ohio's Legalization of CannabisWith cannabis now legalized in Ohio, it's crucial for the community to not only understand the laws but also the financial opportunities associated with cannabis and its medical benefits.Weekends with Cannabis aims to create a space where cannabis enthusiasts, entrepreneurs, and professionals can come together to learn about the latest industry trends and innovations. Weekends with Cannabis will be a welcoming and inclusive environment offering a broad spectrum of resources, educational materials, networking opportunities, and celebration where attendees can gain knowledge and share experiences.	1713553200	1713564000	Cincinnati, OH	https://www.eventbrite.com/e/weekends-with-cannabis-tickets-861265768097?aff=ebdssbdestsearch			1711440903	1714920406	-84.5124602	39.1014537
49	Compassionate Oregon Cannabis and Healthcare  Event and Online Fundraiser	classes	Compassionate Oregon, our state's medical cannabis patient non-profit advocate, is hosting a patient education event covering the ins and outs of the Oregon Medical Marijuana Program as well as raise funds to help protect and advance patients' rights. Focusing on seniors, veterans, and disabled residents wishing to utilize cannabis as part of their healthcare plan, the forum's all-star panel includes:Rachel Knox, MD, MBAJanna Champagne, BSN RN (retired)Brenda Thomas, cannabis clinic ownerMichael Krawitz, executive director of Veterans for Medical Cannabis Access	1713628800	1713643200	Lincoln City, OR	https://www.eventbrite.com/e/compassionate-oregon-cannabis-and-healthcare-event-and-online-fundraiser-tickets-861045088037?aff=ebdssbdestsearch			1711440903	1714920417	-124.0159522	44.9617922
50	420 Cannabis Day Retreat -Soundbath-Lunch-Nature Walk-Paint & Meditate	classes	Cannabis Retreat, designed to harmonize your body, mind, and spirit. Nestled in our serene crystal infused studio, this retreat offers a day filled with enriching activities, each thoughtfully integrated with cannabis to enhance your experience.Surrender to the resonant vibrations of our Sound Bath, a meditative experience where healing sounds and frequencies wash over you, facilitating a state of profound relaxation and mental clarity.Nourish your body with a Lunch at local cafe.Connect with the earth on an independent Nature Walk through Heckscher Park. This immersive experience encourages a mindful appreciation of the beauty around you, with cannabis heightening your sensory awareness, making every color, texture, and sound more vivid.	1713612600	1713625200	Huntington, NY	https://www.eventbrite.com/e/420-cannabis-day-retreat-soundbath-lunch-nature-walk-paint-meditate-tickets-860972561107?aff=ebdssbdestsearch			1711440903	1714920420	-73.425676	40.868154
52	Cannabis Gardening Workshop at Flora Grubb SF	classes	Did you know gardeners all over California and across the U.S. are already growing Cannabis at home? Whether you call it hemp or marijuana, enjoy THC and/or CBD, it is easy to grow in your backyard. Join experts Emily Gogol and Penny Barthel to learn how easy it is to grow this versatile plant.The workshop will cover the how and why of your starting material (clones, seeds, plants) and provide step by step instructions for growing outdoors on a patio or in the backyard (think tomatoes, but easier). Emily and Penny are here to answer your questions with sound advice based on years of gardening experience and will bring a variety of “show and tell” items to demonstrate how to successfully grow at home. Cannabis seeds will be available for purchase, and you can also get a signed copy of Penny’s book, The Cannabis Gardener (Penguin Random House, 2021).	1713016800	1713020400	San Francisco, CA	https://www.eventbrite.com/e/cannabis-gardening-workshop-at-flora-grubb-sf-tickets-869480007107?aff=ebdssbdestsearch			1711440903	1714920430	-122.4193286	37.7792588
53	Cannabis Education & Expungement Clinic	classes	This free community event will provide cannabis education and resources to people in the Baltimore community seeking information and legal support, including those who have been impacted by cannabis related offenses. Cannabis educational sessions will be presented along with resources from various community organizations on topics related to veterans, parental rights, social justice, and record expungements.Participants can sign up to meet with legal advisors throughout the event and learn about job opportunities in the cannabis industry.	1714305600	1714316400	Baltimore, MD	https://www.eventbrite.com/e/cannabis-education-expungement-clinic-tickets-865639710677?aff=ebdssbdestsearch	Free		1711440903	1714920444	-76.610759	39.2908816
54	How to Open a Cannabis Dispensary in Minnesota	classes	Join Cova Software and some of our most trusted cannabis industry partners from Sapphire Risk, KayaPush, Solink, and GreenSpacePro for a free one-day cannabis industry seminar designed to help you navigate the process of opening a recreational dispensary in Minnesota.	1711616400	1711639800	Minneapolis, MN	https://www.eventbrite.ca/e/how-to-open-a-cannabis-dispensary-in-minnesota-tickets-857316585987?aff=ebdssbdestsearch	Free		1711440903	1714920459	-93.2654692	44.9772995
56	Pottery Pub | Sip & Glaze | River Bluff | Cannabis Collection Edition	classes	Celebrate 420 a little early with us at River Bluff Brewing!We're spicing things up at this event! In this class, we'll provide all the supplies and guidance you need to create your own one-of-a-kind ceramic pipe or beaker (see below) while you enjoy the laid-back atmosphere and tasty River Bluff beverages. Don't miss out on this unforgettable experience!Tickets range between $60-80 and include your choice of pottery, glazing materials, instruction, firing fees, and your first pour. No experience is necessary. Come as you are!	1713463200	1713474000	Kansas City, MO	https://www.eventbrite.com/e/pottery-pub-sip-glaze-river-bluff-cannabis-collection-edition-tickets-857241060087?aff=ebdssbdestsearch			1711440903	1714920470	-94.5781416	39.100105
57	How to Open a Cannabis Dispensary in Maryland	classes	Join Cova Software and some of our most trusted cannabis industry partners from CannDelta, KayaPush, Solink, and GreenSpacePro for a free one-day cannabis industry seminar designed to help you navigate the process of opening a recreational dispensary in Maryland.	1712134800	1712158200	Linthicum Heights, MD	https://www.eventbrite.ca/e/how-to-open-a-cannabis-dispensary-in-maryland-tickets-856513122807?aff=ebdssbdestsearch	Free		1711440903	1714920481	-76.6597094	39.2039094
58	Concentrates 101: Understanding Cannabis Concentrates at the Higher Path	classes	Concentrates 101: Understanding Cannabis Concentrates at the Higher PathJoin us at The Higher Path Dispensary for a crash course in all things concentrates! Whether you're a seasoned concentrate connoisseur or a newbie looking to learn more, this event is perfect for you. Our experts will guide you through the world of cannabis concentrates, explaining different types, how they're made, and how to consume them. Get ready to elevate your knowledge and experience with concentrates! Don't miss out on this opportunity to expand your cannabis horizons.	1713092400	1713096000	Los Angeles, CA	https://www.eventbrite.com/e/concentrates-101-understanding-cannabis-concentrates-at-the-higher-path-tickets-867103809837?aff=ebdssbdestsearch			1711440903	1714920491	-118.242766	34.0536909
59	Puff and Paint	classes	Connect with your inner artist at Demi Lauren Studios with our Puff and Paint session. Let your creative juices flow as we provide all the materials you need to create your own masterpiece on canvas. Take home your artwork as a keepsake and enjoy a complimentary glass of champagne or wine while you paint, all accompanied by vibrant music. Join us for a fun and relaxing experience! #BYOB #BYOW(Our cash bar is available for additional beverage choices.)For private parties please email us at www.info@demilaurenstudios.com	1715365800	1715373000	Los Angeles, CA	https://www.eventbrite.com/e/puff-and-paint-tickets-860558823607?aff=ebdssbdestsearch	From $65.00		1711440903	1714920506	-118.242766	34.0536909
60	rhawCanna Mamas'	classes	Rayn Health and Wellness presnets, rhawCanna Mamas' Smoke Sumthin' Fest 2024. This is where Doulas and Mamas who are 420 friendly come together to leanr the benefits of cannabis as an alternative for pain relief during labor. Come learn the rhawCanna Dosing Method, play games, win prizes, meet and network with Mamas and Doulas in the area.	1713630000	1713644400	Orange County, CA	https://www.eventbrite.com/e/rhawcanna-mamas-tickets-867225243047?aff=ebdssbdestsearch	From $10.00		1711440903	1714920508	-117.8722311	33.750631
61	Elevate Your Wellness: Canna 101 Workshop & Medical Card Clinic	classes	Curious about the secrets of finding balance and energy in your life? Join us for our Canna 101 Workshop & Medical Card Clinic—an immersive journey into the world of cannabis wellness. Led by Jabria Craft, a passionate and certified Cannabis Health Coach and owner of Crafted Cannabis, this workshop goes beyond the basics. Explore the transformative power of cannabis and discover how it can enhance your well-being in a warm and welcoming environment.What to Expect:Learn the Basics About Cannabis: Uncover the fundamental knowledge about cannabis, its incredible benefits, and how to use it safely and with a soid understanding of its properties.	1713099600	1713099600	Richmond, VA	https://www.eventbrite.com/e/elevate-your-wellness-canna-101-workshop-medical-card-clinic-tickets-846483022507?aff=ebdssbdestsearch			1711440903	1714920519	-77.43428	37.5385087
62	Cooking With Cannabis Class	classes	Hazy Daze Smoke Shop	1713016800	1713016800	Cockeysville, MD	https://www.eventbrite.com/e/cooking-with-cannabis-class-tickets-856335481477?aff=ebdssbdestsearch			1711440903	1714920522	-76.6502845	39.4845658
63	Cooking With Cannabis Class	classes	This class is not free! Please follow the link below to purchase your ticket.	1711807200	1711814400	Cockeysville, MD	https://www.eventbrite.com/e/cooking-with-cannabis-class-tickets-844855334047?aff=ebdssbdestsearch	Free		1711440903	1714920532	-76.6502845	39.4845658
68	Cannabis 101: A Cannabis Nurse Lecture Series DISTANCE LEARNING  AVAILABLE	classes	A 6-week lecture series designed for health care professionals.SEPTEMBER 2024!!!! - Distance learning (DL) option available!DL will be conducted via Google Meet. A Google Drive account is highly recommended.Registration is Free - Course Fee = $200.00Course fee is due in full prior to start of course.Your spot is not reserved until course fee is paid in full.Course starts Wednesday, September 11, 2024Every Wednesday 6:30PM-8:30PMCourse ends Wednesday, October 16 , 2024.Payment due date to secure your class: Sunday, September 8, 2024.	1726079400	1726079400	CHESAPEAKE, VA	https://www.eventbrite.com/e/cannabis-101-a-cannabis-nurse-lecture-series-distance-learning-available-tickets-821981939107?aff=ebdssbdestsearch	Free		1711440903	1714920548	-76.2466798	36.7183708
72	Puff and Paint	classes	About this eventAdd more details about your event and include what people can expect if they attend.NormalPuff Sip Paint -This event will be hosted by Get Me Some Green with our instructor Eric Wiskes. Eric has been involved in art history and digtial art for over 20 years. It also helps that he shares our love for artistic freedom she's open to fun themes like GLOW IN THE DARK Scapes. Yeah... were going there.Hemp vapes, smokes, gummies and or drinks are all encouraged but not necessary to have fun. What is needed is a sense of humor and a smile. You can bring your own vapes if you do not have one you will be able to purchase one at a an event discount.	1718992800	1719000000	Matthews, NC	https://www.eventbrite.com/e/puff-and-paint-tickets-800123901127?aff=ebdssbdestsearch	From $35.00		1711440903	1714920563	-80.7224386	35.1159532
78	CannaCulture: Network and Learn How To Become An Online Dispensary Owner!	classes	CannaCulture: Exploring Virtual-Online Dispensary Ownership🌟 Get ready for a game-changing Phenomenal Friday! 🚀 Join Kansas City, Missouri Natives, Founder and National Virtual Dispensary Owner (VDO), Reggie Franklin, along with Area VDO, Maurice Jones, as they're expanding this opportunity into the Kansas City Metroplex, and surrounding areas.Discover how to dive into the CannaCulture with your OWN virtual dispensary. Say goodbye to being denied - it's 100% LEGAL in ALL 50 STATES, and there's NO Storefront and NO License needed. So get ready to elevate your financial game! Attend our Phenomenal Friday Opportunity Meeting and discover how to join the booming CannaCulture with your own virtual dispensary. 🌟 Don't Miss Out! 🚀 Act Now to seize this financial opportunity. Be the entrepreneur you're meant to be!	1712946600	1712953800	North Kansas City, MO	https://www.eventbrite.com/e/cannaculture-network-and-learn-how-to-become-an-online-dispensary-owner-tickets-858891326077?aff=ebdssbdestsearch			1711440903	1714920574	-94.5733988	39.1432057
80	Cannabis Sound Bath - Rest & Restore Energy - Meditation	classes	Questions call or text 6318895573 **21 years or older**	1712170800	1712174400	Huntington, NY	https://www.eventbrite.com/e/cannabis-sound-bath-rest-restore-energy-meditation-tickets-868387509417?aff=ebdssbdestsearch	From $44.64		1711440903	1714920584	-73.425676	40.868154
81	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1715203800	1715164200	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824633449847?aff=ebdssbdestsearch	Free		1711440903	1714920597	-80.1353006	25.7929198
84	Monday Night Kush Yoga at Connect San Diego✨ 420-friendly Slow Flow ✨	classes	Sessions are guided by Marcelle, Owner & Creater of Kush YogaClick the link to follow her InstagramKush Yoga is proud to collaborate with Connect San Diego & SH!FT Art Studio and contribute to their diverse community of specialty goods, music and art.Kush yoga was created to provide an outlet to slow down the body & mind. Releasing tension & stress while establishing an intuitive connection with self to manifest and maintain your best life.Session are designed for all yoga levels using cannabis, meditation, crystals, cleansing, oracle cards, micro-movements, breathwork and gratitude. I work hard to create an environment which is fluid, creative, intuitive, non-judgmental & safe space.	1715625000	1715630400	San Diego, CA	https://www.eventbrite.com/e/monday-night-kush-yoga-at-connect-san-diego-420-friendly-slow-flow-tickets-823222670167?aff=ebdssbdestsearch	From $20.00		1711440903	1714920610	-117.162772	32.7174202
85	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1718227800	1718188200	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824635465877?aff=ebdssbdestsearch	Free		1711440903	1714920624	-80.1353006	25.7929198
86	Ganja Yoga & Sound Bath Ceremony	classes	Join us for an unforgettable Ganja Yoga and Sound Bath experience! Immerse yourself in a serene environment that blends cannabis, yoga, and sound bath, allowing you to go on a journey of self-discovery while exploring the transformative capabilities of this dynamic combination. Take this opportunity to unwind, rejuvenate, and interact with community!PsychedeLiA Integration, Sharzad, and Rosalina invite you to surround yourself in warm and inviting space of insight, relaxation, healing, and bliss!	1719685800	1719696600	Los Angeles, CA	https://www.eventbrite.com/e/ganja-yoga-sound-bath-ceremony-tickets-790580797447?aff=ebdssbdestsearch			1711440903	1714920642	-118.242766	34.0536909
87	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1720647000	1720607400	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824636468877?aff=ebdssbdestsearch	Free		1711440903	1714920655	-80.1353006	25.7929198
92	Monday Night Kush Yoga Donation Outdoor Session✨ 420-friendly Slow Flow ✨	classes	Sessions are guided by Marcelle, Owner & Creater of Kush YogaClick the link to follow her InstagramEvery FIRST Monday of the month, Kush Yoga will be hosting a donation based class outside at the beautiful Ventura Cove Park, located in the heart of Mission Bay. Suggested donation $15-$20. To avoid fees feel free to pay at event. I accept cash, Venmo, Cashapp, Apple Pay.Make sure to bring something warm and anticipate cooler weather in the evening.Kush yoga was created to provide an outlet to slow down the body & mind. Releasing tension & stress while establishing an intuitive connection with self to manifest and maintain your best life.	1717439400	1717444800	San Diego, CA	https://www.eventbrite.com/e/monday-night-kush-yoga-donation-outdoor-session-420-friendly-slow-flow-tickets-861947998667?aff=ebdssbdestsearch			1711440903	1714920667	-117.162772	32.7174202
97	Sound Healing with The Singing Bowl Lady	classes	Join us in this powerful immersion into the tones & vibrations of quartz crystal singing bowls, fusing elements of music & meditation in this multi-layered sonic experience. Release tensions, stresses, anxieties, worries & fears ... as you relax in the remembrance of the Power of YOUR own Centered-ness, Peace, Intuition & Compassion.This sonic bath will energize your life force, calm your mind & massage every cell in your body ... allowing access to a deep, relaxing meditative experience. There is really nothing quite like it ... & it's here right in your own back yard.	1715713200	1715716800	Georgetown, TX	https://www.eventbrite.com/e/sound-healing-with-the-singing-bowl-lady-tickets-796227747627?aff=ebdssbdestsearch	From $30.00		1711440903	1714920681	-97.6775634	30.6370152
105	Sound Healing with The Singing Bowl Lady	classes	Join us in this powerful immersion into the tones & vibrations of quartz crystal singing bowls, fusing elements of music & meditation in this multi-layered sonic experience. Release tensions, stresses, anxieties, worries & fears ... as you relax in the remembrance of the Power of YOUR own Centered-ness, Peace, Intuition & Compassion.This sonic bath will energize your life force, calm your mind & massage every cell in your body ... allowing access to a deep, relaxing meditative experience. There is really nothing quite like it ... & it's here right in your own back yard.	1718132400	1718136000	Georgetown, TX	https://www.eventbrite.com/e/sound-healing-with-the-singing-bowl-lady-tickets-796228439697?aff=ebdssbdestsearch			1711440903	1714920694	-97.6775634	30.6370152
111	Sound Healing with The Singing Bowl Lady	classes	Join us in this powerful immersion into the tones & vibrations of quartz crystal singing bowls, fusing elements of music & meditation in this multi-layered sonic experience. Release tensions, stresses, anxieties, worries & fears ... as you relax in the remembrance of the Power of YOUR own Centered-ness, Peace, Intuition & Compassion.This sonic bath will energize your life force, calm your mind & massage every cell in your body ... allowing access to a deep, relaxing meditative experience. There is really nothing quite like it ... & it's here right in your own back yard.	1720551600	1720555200	Georgetown, TX	https://www.eventbrite.com/e/sound-healing-with-the-singing-bowl-lady-tickets-796229131767?aff=ebdssbdestsearch			1711440903	1714920706	-97.6775634	30.6370152
112	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1723671000	1723631400	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824640892107?aff=ebdssbdestsearch	Free		1711440903	1714920719	-80.1353006	25.7929198
117	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1726090200	1726050600	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824641393607?aff=ebdssbdestsearch			1711440903	1714920744	-80.1353006	25.7929198
118	Sound Healing with The Singing Bowl Lady	classes	Join us in this powerful immersion into the tones & vibrations of quartz crystal singing bowls, fusing elements of music & meditation in this multi-layered sonic experience. Release tensions, stresses, anxieties, worries & fears ... as you relax in the remembrance of the Power of YOUR own Centered-ness, Peace, Intuition & Compassion.This sonic bath will energize your life force, calm your mind & massage every cell in your body ... allowing access to a deep, relaxing meditative experience. There is really nothing quite like it ... & it's here right in your own back yard.	1723575600	1723579200	Georgetown, TX	https://www.eventbrite.com/e/sound-healing-with-the-singing-bowl-lady-tickets-796230285217?aff=ebdssbdestsearch			1711440903	1714920756	-97.6775634	30.6370152
121	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1731533400	1731493800	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824641915167?aff=ebdssbdestsearch	Free		1711440903	1714920768	-80.1353006	25.7929198
123	Yoga with Papa Guru at Curaleaf South Beach	classes	Yoga with Papa Guru at CuraleafEnjoy the peaceful and playful vibes of Papa Guru as he guides you through a mindful yoga session focusing on breathing and creative movement!Discover how to get started on your medicinal cannabis journeyLearn how to incorporate cannabis into your personal wellness routineFind which terpenes are best for you with our educational terpene barSwag and discounts availablePlease come in comfortable clothes and bring a mat, water bottle, and form of identification.Follow @curaleaf.florida and @Papa_Guru on Instagram!	1728509400	1728469800	Miami Beach, FL	https://www.eventbrite.com/e/yoga-with-papa-guru-at-curaleaf-south-beach-tickets-824641654387?aff=ebdssbdestsearch			1711440903	1714920786	-80.1353006	25.7929198
124	Sound Healing with The Singing Bowl Lady	classes	Join us in this powerful immersion into the tones & vibrations of quartz crystal singing bowls, fusing elements of music & meditation in this multi-layered sonic experience. Release tensions, stresses, anxieties, worries & fears ... as you relax in the remembrance of the Power of YOUR own Centered-ness, Peace, Intuition & Compassion.This sonic bath will energize your life force, calm your mind & massage every cell in your body ... allowing access to a deep, relaxing meditative experience. There is really nothing quite like it ... & it's here right in your own back yard.	1725994800	1725998400	Georgetown, TX	https://www.eventbrite.com/e/sound-healing-with-the-singing-bowl-lady-tickets-796231779687?aff=ebdssbdestsearch	From $30.00		1711440903	1714920797	-97.6775634	30.6370152
